age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country
-1.6321620962617236,71,1,-1.2240461975162866,57,62,64,92,30,-0.14744217787519687,-0.21858235158226202,-2.832327433174302,89
-1.556027682708815,71,1,-1.2240461975162866,57,37,64,92,51,-0.14744217787519687,-0.21858235158226202,-0.0777328219924295,89
0.19506382900807842,71,13,1.1288996674464558,53,27,41,10,51,-0.14744217787519687,-0.21858235158226202,-0.0777328219924295,47
-1.0230867878384562,71,3,-3.1848344183185717,57,70,59,92,30,-0.14744217787519687,-0.21858235158226202,-0.0777328219924295,34
0.9564079645371626,71,11,0.7367420232859986,21,85,59,92,51,-0.14744217787519687,-0.21858235158226202,-0.9124584617445121,89
0.34733265611389524,49,13,1.1288996674464558,21,73,90,14,30,-0.14744217787519687,-0.21858235158226202,0.08921230595798703,89
0.6518703103255289,71,35,-0.43973090919537255,21,7,90,92,30,-0.14744217787519687,-0.21858235158226202,-0.0777328219924295,89
-0.5662803065210057,83,81,-0.04757326503491549,53,7,41,92,51,-0.14744217787519687,-0.21858235158226202,-0.24467794994284603,89
0.27119824256098685,71,81,-0.04757326503491549,93,27,59,92,30,-0.14744217787519687,-0.21858235158226202,1.1743556376356945,89
1.56548327296043,29,35,-0.43973090919537255,53,76,94,92,30,-0.14744217787519687,-0.21858235158226202,-0.0777328219924295,89
1.3370800323017047,79,13,1.1288996674464558,53,7,41,92,51,-0.14744217787519687,-0.21858235158226202,-0.0777328219924295,89
0.042795001902261584,71,55,1.5210573116069126,53,27,41,92,51,-0.14744217787519687,-0.21858235158226202,-0.0777328219924295,20
0.7280047238784373,71,5,-2.4005191299976576,53,50,41,92,51,-0.14744217787519687,-0.21858235158226202,-0.0777328219924295,89
-1.2514900284971815,71,12,0.3445843791255416,21,85,59,92,51,-0.14744217787519687,-0.21858235158226202,1.5917184575117358,89
-0.3378770658622805,79,13,1.1288996674464558,53,76,41,10,51,-0.14744217787519687,-0.21858235158226202,1.5917184575117358,82
1.3370800323017047,79,35,-0.43973090919537255,21,62,59,92,51,-0.14744217787519687,-0.21858235158226202,0.7569928177596531,89
-0.7185491336268226,71,81,-0.04757326503491549,57,76,64,92,30,-0.14744217787519687,-0.21858235158226202,-0.0777328219924295,89
-0.3378770658622805,79,35,-0.43973090919537255,53,76,41,92,51,-0.14744217787519687,-0.21858235158226202,1.5917184575117358,89
-0.033339411650646834,71,0,-1.6162038416767437,21,19,59,92,51,-0.14744217787519687,-0.21858235158226202,-0.0777328219924295,89
0.9564079645371626,71,81,-0.04757326503491549,53,7,41,92,51,1.8810883542475831,-0.21858235158226202,-0.0777328219924295,89
1.4893488594075215,71,3,-3.1848344183185717,80,28,59,14,51,-0.14744217787519687,-0.21858235158226202,0.7569928177596531,89
-1.175355614944273,71,35,-0.43973090919537255,57,7,64,92,51,-0.14744217787519687,-0.21858235158226202,-1.3298212816205535,89
0.8802735509842542,49,13,1.1288996674464558,53,73,41,92,51,-0.14744217787519687,-0.21858235158226202,0.3396299978836118,89
-0.2617426523093721,71,35,-0.43973090919537255,53,87,41,14,51,-0.14744217787519687,-0.21858235158226202,-0.0777328219924295,89
-0.794683547179731,83,13,1.1288996674464558,53,73,41,92,51,-0.14744217787519687,-0.21858235158226202,-0.0777328219924295,89
-0.2617426523093721,79,35,-0.43973090919537255,21,76,59,92,51,-0.14744217787519687,-0.21858235158226202,0.7569928177596531,89
-0.49014589296809735,71,35,-0.43973090919537255,21,7,90,92,51,0.37737798841615333,-0.21858235158226202,-0.0777328219924295,89
0.7280047238784373,71,35,-0.43973090919537255,53,19,41,92,51,-0.14744217787519687,-0.21858235158226202,-0.0777328219924295,89
1.1086767916429794,71,55,1.5210573116069126,53,27,41,92,51,1.8810883542475831,-0.21858235158226202,1.1743556376356945,89
