Feature_Idx,Feature_Name,Value
0,Store,-1.0739570512841898
1,DayOfMonth,-1.5134206875575267
2,Week,-0.6579662354563087
3,Month,0.1159800462048185
4,Year,0.6256853813852874
5,DayOfYear,0.4528882038554883
6,DayOfWeek,-1.7041750275915322
7,Open,0.4837066630126446
8,Promo,0.43144044215908206
9,SchoolHoliday,-1.5069968762718693
10,StateHoliday,1.2660480833582834
11,StoreType,1.1377779590441166
12,Assortment,-0.06970547294836471
13,CompetitionDistance,-2.0674454490447642
14,AvgSales,-0.47795874117399856
15,AvgCustomers,0.8316035989625826
16,AvgSalesPerCustomer,-0.7398789296218932
