Feature_Idx,Feature_Name,Pos-Neg,Pos,Neg
0,age,-9.777793820830993e-06,0.0,9.777793820830993e-06
1,workclass,-7.366438836697853e-08,0.0,7.366438836697853e-08
2,education,-4.506064144038646e-08,0.0,4.506064144038646e-08
3,education_num,-3.787933019339107e-05,0.0,3.787933019339107e-05
4,marital_status,-1.2219739176089206e-07,0.0,1.2219739176089206e-07
5,occupation,-9.686687008070294e-10,0.0,9.686687008070294e-10
6,relationship,-0.0016501282807439566,0.0,0.0016501282807439566
7,race,-1.0150140283826659e-08,0.0,1.0150140283826659e-08
8,sex,8.458823863577436e-09,8.458823863577436e-09,0.0
9,capital_gain,-0.0032766025979071856,0.0,0.0032766025979071856
10,capital_loss,-4.437092229636619e-06,0.0,4.437092229636619e-06
11,hours_per_week,-1.990803411899833e-06,0.0,1.990803411899833e-06
12,native_country,9.878129425544557e-10,9.878129425544557e-10,0.0
