Feature_Idx,Feature_Name,Pos-Neg,Pos,Neg
0,age,-0.09258260577917099,0.0,0.09258260577917099
1,workclass,-0.003945912234485149,5.870124005014077e-05,0.004004613496363163
2,education,0.028253288939595222,0.028432702645659447,0.00017941278929356486
3,education_num,-0.08768172562122345,0.0,0.08768172562122345
4,marital_status,0.02839159406721592,0.028417078778147697,2.5484885554760695e-05
5,occupation,-0.014067640528082848,0.0008350727730430663,0.01490271370857954
6,relationship,-0.2725338637828827,0.0,0.2725338637828827
7,race,0.002182591939345002,0.002225220901891589,4.2629020754247904e-05
8,sex,0.026810359209775925,0.031785156577825546,0.004974796902388334
9,capital_gain,-0.21449211239814758,0.0,0.21449211239814758
10,capital_loss,-0.014165213331580162,0.0,0.014165213331580162
11,hours_per_week,-0.04635288938879967,0.0,0.04635288938879967
12,native_country,0.004421459976583719,0.004421459976583719,0.0
