Feature_Idx,Feature_Name,Pos-Neg,Pos,Neg
0,age,-2.5887866286211647e-05,0.0,2.5887866286211647e-05
1,workclass,-1.9503691817135405e-07,0.0,1.9503691817135405e-07
2,education,-1.1930444543395424e-07,0.0,1.1930444543395424e-07
3,education_num,-0.00010027759708464146,0.0,0.00010027759708464146
4,marital_status,-3.2353491974390636e-07,0.0,3.2353491974390636e-07
5,occupation,-2.564687795469922e-09,0.0,2.564687795469922e-09
6,relationship,-0.003563330275937915,0.0,0.003563330275937915
7,race,-2.687393596545462e-08,0.0,2.687393596545462e-08
8,sex,8.085034863825058e-09,8.085034863825058e-09,0.0
9,capital_gain,-0.005021760705858469,0.0,0.005021760705858469
10,capital_loss,-1.1747809367079753e-05,0.0,1.1747809367079753e-05
11,hours_per_week,-5.2709328883793205e-06,0.0,5.2709328883793205e-06
12,native_country,2.762879480755487e-09,2.762879480755487e-09,0.0
