Feature_Idx,Feature_Name,Pos-Neg,Pos,Neg
0,age,-0.14799371361732483,0.0,0.14799371361732483
1,workclass,-0.005389962811022997,4.7070356231415644e-05,0.005437033250927925
2,education,0.031092962250113487,0.03129288926720619,0.0001999269297812134
3,education_num,-0.1335148811340332,0.0,0.1335148811340332
4,marital_status,0.03192145749926567,0.03194330632686615,2.1847283278475516e-05
5,occupation,-0.020563066005706787,0.0006809880142100155,0.021244054660201073
6,relationship,-0.4317668378353119,0.0,0.4317668378353119
7,race,0.001740085193887353,0.0017827219562605023,4.263675873517059e-05
8,sex,0.030351411551237106,0.03718892112374306,0.006837509106844664
9,capital_gain,-0.2835751175880432,0.0,0.2835751175880432
10,capital_loss,-0.018608979880809784,0.0,0.018608979880809784
11,hours_per_week,-0.06488063186407089,0.0,0.06488063186407089
12,native_country,0.0037358631379902363,0.0037358631379902363,0.0
