Feature_Idx,Feature_Name,Pos-Neg,Pos,Neg
0,age,-0.34647905826568604,0.0,0.34647905826568604
1,workclass,-0.004745210986584425,0.0,0.004745210986584425
2,education,-0.0170428566634655,0.009779181331396103,0.026822037994861603
3,education_num,-0.14282597601413727,0.0,0.14282597601413727
4,marital_status,0.07493796944618225,0.07511645555496216,0.0001784884079825133
5,occupation,-0.04101807251572609,0.0005807504057884216,0.04159882292151451
6,relationship,-0.4889717400074005,0.0,0.4889717400074005
7,race,0.005683824885636568,0.005953975021839142,0.00027015001978725195
8,sex,-0.15442979335784912,0.003099458757787943,0.15752924978733063
9,capital_gain,-0.07422693818807602,0.0,0.07422693818807602
10,capital_loss,-0.018955206498503685,0.0,0.018955206498503685
11,hours_per_week,-0.05683760717511177,0.0,0.05683760717511177
12,native_country,0.008338305167853832,0.008338305167853832,0.0
