Feature_Idx,Feature_Name,Pos-Neg,Pos,Neg
0,age,-1.1292941570281982,0.0,1.1292941570281982
1,workclass,-0.025126533582806587,0.0,0.025126533582806587
2,education,0.01864982396364212,0.10798078775405884,0.08933096379041672
3,education_num,-0.5190162658691406,0.0,0.5190162658691406
4,marital_status,0.2750835716724396,0.2767387330532074,0.001655169646255672
5,occupation,-0.14137649536132812,0.005449079442769289,0.14682558178901672
6,relationship,-1.6302191019058228,0.0,1.6302191019058228
7,race,0.016101183369755745,0.019486580044031143,0.003385397372767329
8,sex,-0.4220653176307678,0.03767769783735275,0.45974302291870117
9,capital_gain,-0.31498587131500244,0.0,0.31498587131500244
10,capital_loss,-0.07948113977909088,0.0,0.07948113977909088
11,hours_per_week,-0.22103245556354523,0.0,0.22103245556354523
12,native_country,0.03122449666261673,0.03124113380908966,1.6637719454593025e-05
